# Input file for fr-burgers-turbulent.py program
N                  160 # Number of mesh points
NREF                 0 # Number of refinement levels of the mesh
P                    3 # Polynomial degree for FR scheme, which is the degree of the lagrange polynomial
VISC          0.000080 # Viscosity
INISOL       TURBULENT # Initial solution type: SINE,GAUSSIAN,SQUARE,TURBULENT
DT            0.000050 # Time step
TSIM          0.500000 # Maximum number of iterations
NDUMP               10 # Interval of iterations to dump a solution
# --- LES Parameters ---
USE_LES                   FALSE

BEGIN_SOLUTION
0.000000000000000e+00 1.007265153250555e+00
1.738322026729692e-03 1.007070248995784e+00
4.550986149370937e-03 1.006539667425446e+00
6.289308176100629e-03 1.006234254242416e+00
6.289308176100629e-03 1.006242545835351e+00
8.027630202830321e-03 1.006046223381228e+00
1.084029432547157e-02 1.006067303015030e+00
1.257861635220126e-02 1.006211349479352e+00
1.257861635220126e-02 1.006206468777093e+00
1.431693837893095e-02 1.006355745449119e+00
1.712960250157220e-02 1.006356890328041e+00
1.886792452830189e-02 1.006113002450533e+00
1.886792452830189e-02 1.006093397195096e+00
2.060624655503158e-02 1.005630617648818e+00
2.341891067767283e-02 1.004320352471248e+00
2.515723270440252e-02 1.003405789429459e+00
2.515723270440252e-02 1.003451148843496e+00
2.689555473113221e-02 1.002707627808881e+00
2.970821885377345e-02 1.002775601627640e+00
3.144654088050314e-02 1.003518771019743e+00
3.144654088050314e-02 1.003470821600290e+00
3.318486290723284e-02 1.004486935682217e+00
3.599752702987408e-02 1.005429858273106e+00
3.773584905660378e-02 1.005414412341987e+00
3.773584905660378e-02 1.005449110972928e+00
3.947417108333347e-02 1.005081824708216e+00
4.228683520597472e-02 1.004737804526928e+00
4.402515723270441e-02 1.004864287157674e+00
4.402515723270441e-02 1.004850527050536e+00
4.576347925943410e-02 1.005203408352114e+00
4.857614338207535e-02 1.005766163926405e+00
5.031446540880503e-02 1.005990581105274e+00
5.031446540880503e-02 1.005988482998108e+00
5.205278743553472e-02 1.006092801282160e+00
5.486545155817597e-02 1.005925939389007e+00
5.660377358490566e-02 1.005544742258280e+00
5.660377358490566e-02 1.005548784579905e+00
5.834209561163535e-02 1.004930673954674e+00
6.115475973427660e-02 1.003729362452586e+00
6.289308176100629e-02 1.003086537266804e+00
6.289308176100629e-02 1.003088923490523e+00
6.463140378773598e-02 1.002643519262278e+00
6.744406791037723e-02 1.002249644302646e+00
6.918238993710692e-02 1.002034326631158e+00
6.918238993710692e-02 1.002022291201462e+00
7.092071196383662e-02 1.001712481355302e+00
7.373337608647787e-02 1.000905319785967e+00
7.547169811320756e-02 1.000376994455602e+00
7.547169811320756e-02 1.000397154652050e+00
7.721002013993725e-02 1.000003150448459e+00
8.002268426257850e-02 1.000059423140825e+00
8.176100628930819e-02 1.000468566810337e+00
8.176100628930819e-02 1.000453349487240e+00
8.349932831603787e-02 1.001019283348500e+00
8.631199243867912e-02 1.001787188467847e+00
8.805031446540881e-02 1.002093338660223e+00
8.805031446540881e-02 1.002099187352027e+00
8.978863649213850e-02 1.002285305566894e+00
9.260130061477975e-02 1.002378257877555e+00
9.433962264150944e-02 1.002204088975963e+00
9.433962264150944e-02 1.002204762418471e+00
9.607794466823913e-02 1.001765545411430e+00
9.889060879088038e-02 1.000564136296176e+00
