# Input file for fr-burgers-turbulent.py program
N                  160 # Number of mesh points
NREF                 0 # Number of refinement levels of the mesh
P                    3 # Polynomial degree for FR scheme, which is the degree of the lagrange polynomial
VISC          0.000080 # Viscosity
INISOL       TURBULENT # Initial solution type: SINE,GAUSSIAN,SQUARE,TURBULENT
DT            0.000050 # Time step
TSIM          0.500000 # Maximum number of iterations
NDUMP               10 # Interval of iterations to dump a solution
# --- LES Parameters ---
USE_LES                    TRUE
SGS_MODEL_TYPE  smagorinsky_dynamic
SGS_FILTER_RATIO            2.00
SGS_AVG_TYPE             global
SGS_CS_MIN               0.0100

BEGIN_SOLUTION
0.000000000000000e+00 9.881131720605698e-01
1.738322026729692e-03 9.856459326985677e-01
4.550986149370937e-03 9.823537796964106e-01
6.289308176100629e-03 9.818828333470256e-01
6.289308176100629e-03 9.818123739292631e-01
8.027630202830321e-03 9.831834188949414e-01
1.084029432547157e-02 9.868074707413041e-01
1.257861635220126e-02 9.884811972153544e-01
1.257861635220126e-02 9.886079866574095e-01
1.431693837893095e-02 9.892711760080553e-01
1.712960250157220e-02 9.906538483092355e-01
1.886792452830189e-02 9.918682934485767e-01
1.886792452830189e-02 9.916943536216474e-01
2.060624655503158e-02 9.926758884744433e-01
2.341891067767283e-02 9.908123426983536e-01
2.515723270440252e-02 9.885022931498451e-01
2.515723270440252e-02 9.885404901523239e-01
2.689555473113221e-02 9.867203285382277e-01
2.970821885377345e-02 9.859792251702915e-01
3.144654088050314e-02 9.862286368096946e-01
3.144654088050314e-02 9.862639724213321e-01
3.318486290723284e-02 9.865539400189329e-01
3.599752702987408e-02 9.874032191600197e-01
3.773584905660378e-02 9.879872911333557e-01
3.773584905660378e-02 9.879229643604210e-01
3.947417108333347e-02 9.882305612970878e-01
4.228683520597472e-02 9.874123676702871e-01
4.402515723270441e-02 9.869639946969270e-01
4.402515723270441e-02 9.869135072723263e-01
4.576347925943410e-02 9.873068076674917e-01
4.857614338207535e-02 9.888501094201566e-01
5.031446540880503e-02 9.899438818822048e-01
5.031446540880503e-02 9.900081255233546e-01
5.205278743553472e-02 9.911898872389047e-01
5.486545155817597e-02 9.944226682095658e-01
5.660377358490566e-02 9.970009295419413e-01
5.660377358490566e-02 9.968668543899079e-01
5.834209561163535e-02 9.994548317006521e-01
6.115475973427660e-02 1.000549098818797e+00
6.289308176100629e-02 9.988681848204558e-01
6.289308176100629e-02 9.989713507440079e-01
6.463140378773598e-02 9.958950287564171e-01
6.744406791037723e-02 9.913915294075901e-01
6.918238993710692e-02 9.896599427426999e-01
6.918238993710692e-02 9.897553214302629e-01
7.092071196383662e-02 9.889136633515642e-01
7.373337608647787e-02 9.905976921108870e-01
7.547169811320756e-02 9.932065952048543e-01
7.547169811320756e-02 9.931056554157496e-01
7.721002013993725e-02 9.961827215786982e-01
8.002268426257850e-02 9.994664785812446e-01
8.176100628930819e-02 1.000402923691381e+00
8.176100628930819e-02 1.000416266257064e+00
8.349932831603787e-02 1.000884210230966e+00
8.631199243867912e-02 1.001885306389998e+00
8.805031446540881e-02 1.003331967327892e+00
8.805031446540881e-02 1.003348378709792e+00
8.978863649213850e-02 1.005793030811992e+00
9.260130061477975e-02 1.010978768666383e+00
9.433962264150944e-02 1.013570784588437e+00
9.433962264150944e-02 1.013488678721434e+00
9.607794466823913e-02 1.014701695788793e+00
9.889060879088038e-02 1.012997814537545e+00
1.006289308176101e-01 1.010743125495515e+00
1.006289308176101e-01 1.010759251255755e+00
1.023672528443398e-01 1.008689856405860e+00
1.051799169669810e-01 1.006540066862016e+00
1.069182389937107e-01 1.005478483593882e+00
1.069182389937107e-01 1.005527164355519e+00
1.086565610204404e-01 1.004444970352931e+00
1.114692251430816e-01 1.003554383637650e+00
1.132075471698113e-01 1.003280397356692e+00
1.132075471698113e-01 1.003331355767595e+00
1.149458691965410e-01 1.002967608629130e+00
1.177585333191823e-01 1.002666897908059e+00
1.194968553459120e-01 1.002296055236099e+00
1.194968553459120e-01 1.002429992634301e+00
1.212351773726416e-01 1.001480927948414e+00
1.240478414952829e-01 1.000492835600895e+00
1.257861635220126e-01 9.999821148266436e-01
1.257861635220126e-01 1.000044930998744e+00
1.275244855487423e-01 9.987054869648258e-01
1.303371496713835e-01 9.963717338047532e-01
1.320754716981132e-01 9.967952667933757e-01
1.320754716981132e-01 9.965555469681520e-01
1.338137937248429e-01 9.990579433538043e-01
1.366264578474841e-01 1.001734960447663e+00
1.383647798742138e-01 1.001681862013883e+00
1.383647798742138e-01 1.001724918771526e+00
1.401031019009435e-01 1.000868949534516e+00
1.429157660235848e-01 9.997076983227126e-01
1.446540880503145e-01 9.991756320447008e-01
1.446540880503145e-01 9.991431625847865e-01
1.463924100770441e-01 9.987787532100242e-01
1.492050741996854e-01 9.979395029531956e-01
1.509433962264151e-01 9.968243440935823e-01
1.509433962264151e-01 9.970008976235146e-01
1.526817182531448e-01 9.954487791676990e-01
1.554943823757861e-01 9.953124120737984e-01
1.572327044025157e-01 9.962769616268066e-01
1.572327044025157e-01 9.963161547720630e-01
1.589710264292454e-01 9.970617226427477e-01
1.617836905518867e-01 9.981136879354824e-01
1.635220125786164e-01 9.993003254085223e-01
