# Input file for fr-burgers-turbulent.py program
N                   -1 # Number of mesh points
NX                  11 # Number of mesh points in X
NY                  11 # Number of mesh points in Y
NREF                 0 # Number of refinement levels of the mesh
P                    2 # Polynomial degree for FR scheme, which is the degree of the lagrange polynomial
VISC          0.010000 # Viscosity
INISOL    TAYLOR_GREEN # Initial solution type: SINE,GAUSSIAN,SQUARE,TURBULENT
DT            0.000100 # Time step
TSIM          0.100000 # Maximum number of iterations
NDUMP              500 # Interval of iterations to dump a solution
# --- LES Parameters ---
USE_LES                   FALSE

BEGIN_SOLUTION
0.000000000000000e+00 0.000000000000000e+00 1.254814153833425e-01 -3.954106751469311e-02

5.000000000000000e-02 0.000000000000000e+00 1.669059476143012e-01 -7.816129212045986e-02

1.000000000000000e-01 0.000000000000000e+00 3.186659734409407e-01 -5.481921966230399e-02

0.000000000000000e+00 5.000000000000000e-02 1.408252760601479e-01 -7.195616489981724e-02

5.000000000000000e-02 5.000000000000000e-02 1.723904234777911e-01 -1.737560157944245e-01

1.000000000000000e-01 5.000000000000000e-02 3.265065773278192e-01 -1.093680304270123e-01

0.000000000000000e+00 1.000000000000000e-01 1.305025460335333e-01 -1.641159569483536e-01

5.000000000000000e-02 1.000000000000000e-01 1.701940835819415e-01 -3.412608087503078e-01

1.000000000000000e-01 1.000000000000000e-01 3.240726996031941e-01 -2.210756570908193e-01

1.000000000000000e-01 0.000000000000000e+00 2.879960674809253e-01 -7.798512973656263e-02

1.500000000000000e-01 0.000000000000000e+00 4.117298017488369e-01 -7.670193892853988e-02

2.000000000000000e-01 0.000000000000000e+00 5.434598093245836e-01 -7.171317359806359e-02

1.000000000000000e-01 5.000000000000000e-02 2.964676881566678e-01 -1.711569652788524e-01

1.500000000000000e-01 5.000000000000000e-02 4.268130888635041e-01 -1.687649638497690e-01

2.000000000000000e-01 5.000000000000000e-02 5.612020785561103e-01 -1.548155697797211e-01

1.000000000000000e-01 1.000000000000000e-01 2.943906088251597e-01 -3.372852676516443e-01

1.500000000000000e-01 1.000000000000000e-01 4.209934468970076e-01 -3.313629757611563e-01

2.000000000000000e-01 1.000000000000000e-01 5.522198699320482e-01 -3.039570298265107e-01

2.000000000000000e-01 0.000000000000000e+00 5.354290143030005e-01 -7.352152547945104e-02

2.500000000000000e-01 0.000000000000000e+00 6.480299375952693e-01 -6.907915008476737e-02

3.000000000000000e-01 0.000000000000000e+00 7.385976722224863e-01 -6.505505675264500e-02

2.000000000000000e-01 5.000000000000000e-02 5.565680497139116e-01 -1.590073472840748e-01

2.500000000000000e-01 5.000000000000000e-02 6.739058101052419e-01 -1.471799262128762e-01

3.000000000000000e-01 5.000000000000000e-02 7.749504113286420e-01 -1.365771010503021e-01

2.000000000000000e-01 1.000000000000000e-01 5.474396020643713e-01 -3.118905826740532e-01

2.500000000000000e-01 1.000000000000000e-01 6.596035549426965e-01 -2.885052304060925e-01

3.000000000000000e-01 1.000000000000000e-01 7.551621432341087e-01 -2.660983072362166e-01

3.000000000000000e-01 0.000000000000000e+00 7.431052638866515e-01 -6.343437947671332e-02

3.500000000000000e-01 0.000000000000000e+00 8.270329318848576e-01 -5.630608202785957e-02

4.000000000000000e-01 0.000000000000000e+00 9.023885316997209e-01 -4.504836558243845e-02

3.000000000000000e-01 5.000000000000000e-02 7.755520254338619e-01 -1.334623380959638e-01

3.500000000000000e-01 5.000000000000000e-02 8.621030585353359e-01 -1.182019192568005e-01

4.000000000000000e-01 5.000000000000000e-02 9.314111721615894e-01 -9.486436911505881e-02

3.000000000000000e-01 1.000000000000000e-01 7.554204980048833e-01 -2.608599760841840e-01

3.500000000000000e-01 1.000000000000000e-01 8.365245747357746e-01 -2.298796385444348e-01

4.000000000000000e-01 1.000000000000000e-01 8.988069932692798e-01 -1.845081351162016e-01

4.000000000000000e-01 0.000000000000000e+00 8.991119491974001e-01 -4.634692225256513e-02

4.500000000000000e-01 0.000000000000000e+00 9.506965193491470e-01 -3.485492636625653e-02

5.000000000000000e-01 0.000000000000000e+00 9.776491714390840e-01 -2.275579671143530e-02

4.000000000000000e-01 5.000000000000000e-02 9.303922518653078e-01 -9.816047935522970e-02

4.500000000000000e-01 5.000000000000000e-02 9.754480268946376e-01 -7.579346210521477e-02

5.000000000000000e-01 5.000000000000000e-02 9.958695395327934e-01 -5.674563559255741e-02

4.000000000000000e-01 1.000000000000000e-01 8.986337258966773e-01 -1.899558225475274e-01

4.500000000000000e-01 1.000000000000000e-01 9.381681614709063e-01 -1.455253705716601e-01

5.000000000000000e-01 1.000000000000000e-01 9.547639198104625e-01 -1.052828504414290e-01

5.000000000000000e-01 0.000000000000000e+00 9.801959486674854e-01 -2.183827017876124e-02

5.500000000000000e-01 0.000000000000000e+00 9.579921270802815e-01 -4.415379705169011e-03

6.000000000000001e-01 0.000000000000000e+00 8.575055971560529e-01 2.127569151275443e-02

5.000000000000000e-01 5.000000000000000e-02 9.953191374540216e-01 -5.332697533063121e-02

5.500000000000000e-01 5.000000000000000e-02 9.925785664874689e-01 -2.678695176953201e-02

6.000000000000001e-01 5.000000000000000e-02 9.626743564021459e-01 1.000390069750010e-02

5.000000000000000e-01 1.000000000000000e-01 9.544501371881567e-01 -9.990385531914597e-02

5.500000000000000e-01 1.000000000000000e-01 9.371725341828188e-01 -4.673450069428874e-02

6.000000000000001e-01 1.000000000000000e-01 8.771006377221152e-01 2.533829342086481e-02

6.000000000000001e-01 0.000000000000000e+00 8.638748982397464e-01 1.912152934513452e-02

6.500000000000001e-01 0.000000000000000e+00 7.338907769328088e-01 4.481388136731768e-02

7.000000000000001e-01 0.000000000000000e+00 5.911525819575386e-01 6.736660275400910e-02

6.000000000000001e-01 5.000000000000000e-02 9.614261693586551e-01 5.574306683112742e-03

6.500000000000001e-01 5.000000000000000e-02 8.980258016473399e-01 3.757744982923059e-02

7.000000000000001e-01 5.000000000000000e-02 8.031584589220970e-01 6.026347895644590e-02

6.000000000000001e-01 1.000000000000000e-01 8.797705510926065e-01 1.707319968761630e-02

6.500000000000001e-01 1.000000000000000e-01 7.865192162236050e-01 8.323338469382220e-02

7.000000000000001e-01 1.000000000000000e-01 6.621160432684384e-01 1.338247043222669e-01

7.000000000000001e-01 0.000000000000000e+00 5.923384552778304e-01 6.969140758165003e-02

7.500000000000000e-01 0.000000000000000e+00 4.499024883815582e-01 9.384313301927041e-02

8.000000000000000e-01 0.000000000000000e+00 3.199683801522123e-01 1.198013157963417e-01

7.000000000000001e-01 5.000000000000000e-02 8.069427014400120e-01 6.546384249717822e-02

7.500000000000000e-01 5.000000000000000e-02 7.000360617184360e-01 9.567955444504275e-02

8.000000000000000e-01 5.000000000000000e-02 5.858402348773145e-01 1.366598462427588e-01

7.000000000000001e-01 1.000000000000000e-01 6.651547231533445e-01 1.442613155369294e-01

7.500000000000000e-01 1.000000000000000e-01 5.297048045463205e-01 2.050462646239611e-01

8.000000000000000e-01 1.000000000000000e-01 4.038228983822470e-01 2.782247337832472e-01

8.000000000000000e-01 0.000000000000000e+00 3.179928809296843e-01 1.154826767795874e-01

8.500000000000001e-01 0.000000000000000e+00 2.117489983837627e-01 1.296090429282709e-01

9.000000000000000e-01 0.000000000000000e+00 1.265419878757710e-01 1.323780954566207e-01

8.000000000000000e-01 5.000000000000000e-02 5.828579323245922e-01 1.280546227657475e-01

8.500000000000001e-01 5.000000000000000e-02 4.438600914571518e-01 1.505573979019884e-01

9.000000000000000e-01 5.000000000000000e-02 2.792287510227637e-01 1.479718445372052e-01

8.000000000000000e-01 1.000000000000000e-01 4.021756578312980e-01 2.594536642854589e-01

8.500000000000001e-01 1.000000000000000e-01 2.892281271048476e-01 2.945169379989537e-01

9.000000000000000e-01 1.000000000000000e-01 1.786343903106170e-01 2.858585462941468e-01

9.000000000000000e-01 0.000000000000000e+00 1.238959965595346e-01 1.413761508244248e-01

9.500000000000000e-01 0.000000000000000e+00 6.045630569870098e-02 1.500919506728490e-01

1.000000000000000e+00 0.000000000000000e+00 -2.721298018475501e-03 1.754384939877120e-01

9.000000000000000e-01 5.000000000000000e-02 2.954465453244419e-01 1.641459904317479e-01

9.500000000000000e-01 5.000000000000000e-02 1.632479519842186e-01 1.762651851184514e-01

1.000000000000000e+00 5.000000000000000e-02 5.311459572105388e-02 2.088451338014099e-01

9.000000000000000e-01 1.000000000000000e-01 1.865197679993126e-01 3.210087442233914e-01

9.500000000000000e-01 1.000000000000000e-01 1.009529105254989e-01 3.387238683421315e-01

1.000000000000000e+00 1.000000000000000e-01 2.679362472568230e-02 3.965880933363244e-01

0.000000000000000e+00 1.000000000000000e-01 1.368516245269555e-01 -1.141385708282636e-01

5.000000000000000e-02 1.000000000000000e-01 1.580016799506865e-01 -2.820250650586861e-01

1.000000000000000e-01 1.000000000000000e-01 3.045687237216512e-01 -1.754901398606418e-01

0.000000000000000e+00 1.500000000000000e-01 1.296720443517677e-01 -2.114293291314434e-01

5.000000000000000e-02 1.500000000000000e-01 1.476809030405282e-01 -4.411861791441722e-01

1.000000000000000e-01 1.500000000000000e-01 2.926812462261281e-01 -2.881226386216318e-01

0.000000000000000e+00 2.000000000000000e-01 1.102124372882092e-01 -3.181349652621797e-01

5.000000000000000e-02 2.000000000000000e-01 1.148815350459982e-01 -5.671323872608875e-01

1.000000000000000e-01 2.000000000000000e-01 2.414806877685625e-01 -3.965858994171646e-01

1.000000000000000e-01 1.000000000000000e-01 2.700116826543546e-01 -2.848934802713763e-01

1.500000000000000e-01 1.000000000000000e-01 3.899021871366226e-01 -2.741995997501266e-01

2.000000000000000e-01 1.000000000000000e-01 5.122139283452325e-01 -2.513974870717372e-01

1.000000000000000e-01 1.500000000000000e-01 2.518293953121622e-01 -4.551304167327240e-01

1.500000000000000e-01 1.500000000000000e-01 3.640201301506308e-01 -4.257933624767772e-01

2.000000000000000e-01 1.500000000000000e-01 4.813425345767401e-01 -3.943134334474067e-01

1.000000000000000e-01 2.000000000000000e-01 1.899284864935238e-01 -6.098604379134898e-01

1.500000000000000e-01 2.000000000000000e-01 2.828603327086370e-01 -5.421461328969690e-01

2.000000000000000e-01 2.000000000000000e-01 3.787826523108800e-01 -5.102502145758649e-01

2.000000000000000e-01 1.000000000000000e-01 5.095525273339621e-01 -2.571500596030590e-01

2.500000000000000e-01 1.000000000000000e-01 6.182742872848592e-01 -2.358859639913855e-01

3.000000000000000e-01 1.000000000000000e-01 7.157380318053977e-01 -2.169450182066866e-01

2.000000000000000e-01 1.500000000000000e-01 4.765771898785713e-01 -3.989837502818984e-01

2.500000000000000e-01 1.500000000000000e-01 5.794178586901217e-01 -3.648598536770171e-01

3.000000000000000e-01 1.500000000000000e-01 6.689740683021733e-01 -3.327782069372580e-01

2.000000000000000e-01 2.000000000000000e-01 3.753368635313466e-01 -5.046860351065027e-01

2.500000000000000e-01 2.000000000000000e-01 4.626310743187713e-01 -4.570196190691144e-01

3.000000000000000e-01 2.000000000000000e-01 5.429248656867063e-01 -4.099626876070681e-01

3.000000000000000e-01 1.000000000000000e-01 7.158988107307973e-01 -2.116628619523523e-01

3.500000000000000e-01 1.000000000000000e-01 7.986898711055701e-01 -1.867827183507069e-01

4.000000000000000e-01 1.000000000000000e-01 8.665164338430486e-01 -1.470835164217471e-01

3.000000000000000e-01 1.500000000000000e-01 6.709664801231565e-01 -3.262363483027905e-01

3.500000000000000e-01 1.500000000000000e-01 7.477133680975265e-01 -2.861600446377142e-01

4.000000000000000e-01 1.500000000000000e-01 8.137082718848764e-01 -2.260690342103057e-01

3.000000000000000e-01 2.000000000000000e-01 5.446839741739112e-01 -4.037386067900420e-01

