# Input file for fr-burgers-turbulent.py program
N                  160 # Number of mesh points
NREF                 0 # Number of refinement levels of the mesh
P                    3 # Polynomial degree for FR scheme, which is the degree of the lagrange polynomial
VISC          0.000080 # Viscosity
INISOL       TURBULENT # Initial solution type: SINE,GAUSSIAN,SQUARE,TURBULENT
DT            0.000050 # Time step
TSIM          0.500000 # Maximum number of iterations
NDUMP               10 # Interval of iterations to dump a solution
# --- LES Parameters ---
USE_LES                   FALSE

BEGIN_SOLUTION
0.000000000000000e+00 1.006780044256012e+00
1.738322026729692e-03 1.006781559805365e+00
4.550986149370937e-03 1.006568154788551e+00
6.289308176100629e-03 1.006281235624324e+00
6.289308176100629e-03 1.006279310006725e+00
8.027630202830321e-03 1.005866650873425e+00
1.084029432547157e-02 1.004937961397855e+00
1.257861635220126e-02 1.004237350621121e+00
1.257861635220126e-02 1.004238436562789e+00
1.431693837893095e-02 1.003476661325791e+00
1.712960250157220e-02 1.002221118725354e+00
1.886792452830189e-02 1.001488449531762e+00
1.886792452830189e-02 1.001490238513278e+00
2.060624655503158e-02 1.000826294772779e+00
2.341891067767283e-02 9.999506495663746e-01
2.515723270440252e-02 9.995357921665572e-01
2.515723270440252e-02 9.995355210947279e-01
2.689555473113221e-02 9.992111601915573e-01
2.970821885377345e-02 9.988435317578213e-01
3.144654088050314e-02 9.986923414936967e-01
3.144654088050314e-02 9.986917960504241e-01
3.318486290723284e-02 9.985849784220705e-01
3.599752702987408e-02 9.984858821654414e-01
3.773584905660378e-02 9.984674667820189e-01
3.773584905660378e-02 9.984680623340291e-01
3.947417108333347e-02 9.984824094346553e-01
4.228683520597472e-02 9.985831395180628e-01
4.402515723270441e-02 9.986917930048844e-01
4.402515723270441e-02 9.986924056758345e-01
4.576347925943410e-02 9.988312533683634e-01
4.857614338207535e-02 9.990977543190318e-01
5.031446540880503e-02 9.992635659003304e-01
5.031446540880503e-02 9.992627311867387e-01
5.205278743553472e-02 9.994080124385908e-01
5.486545155817597e-02 9.995424499579976e-01
5.660377358490566e-02 9.995361055076432e-01
5.660377358490566e-02 9.995344287937294e-01
5.834209561163535e-02 9.994453653645474e-01
6.115475973427660e-02 9.991077831338218e-01
6.289308176100629e-02 9.987938004403468e-01
6.289308176100629e-02 9.987940114102126e-01
6.463140378773598e-02 9.984191831272105e-01
6.744406791037723e-02 9.977522845727909e-01
6.918238993710692e-02 9.973479737668203e-01
6.918238993710692e-02 9.973495194705321e-01
7.092071196383662e-02 9.969825767098774e-01
7.373337608647787e-02 9.965280113450301e-01
7.547169811320756e-02 9.963477841595508e-01
7.547169811320756e-02 9.963483446508218e-01
7.721002013993725e-02 9.962476736013191e-01
8.002268426257850e-02 9.962385736514225e-01
8.176100628930819e-02 9.963077463906401e-01
8.176100628930819e-02 9.963073695764945e-01
8.349932831603787e-02 9.964158829714087e-01
8.631199243867912e-02 9.966312778496685e-01
8.805031446540881e-02 9.967661118112644e-01
8.805031446540881e-02 9.967655794269176e-01
8.978863649213850e-02 9.968868074102085e-01
9.260130061477975e-02 9.970277143443986e-01
9.433962264150944e-02 9.970723644637993e-01
9.433962264150944e-02 9.970721644773380e-01
9.607794466823913e-02 9.970810090496245e-01
9.889060879088038e-02 9.970189165365230e-01
